config_name,accuracy_pct,latency_mean,latency_median,latency_p95,n,speedup_vs_slowest,pareto
scan05,52.4390243902439,8.441811811631707,6.1143920421499995,16.279148852850003,82,1.8649171673560705,True
budget16,47.5609756097561,10.65820064777195,7.3647339344,23.16043016908001,82,1.4771048408055898,False
top4,46.34146341463415,10.957348079220731,7.58564269545,23.161260700250004,82,1.4367782840591168,False
top16,46.34146341463415,11.356480450169512,8.03204214575,23.373967027705003,82,1.386281589633365,False
baseline,47.5609756097561,11.432596590463413,8.2175915241,25.115858078045008,82,1.3770519799704641,False
budget64,46.34146341463415,12.226071369358538,8.8799124956,24.886110019670006,82,1.2876809970664533,False
scan2,46.34146341463415,15.743279771101221,10.9337799549,36.18847725387501,82,1.0,False
