policy,runs,errors,completion_percent,prep_peak_service_lead_s,prep_mean_service_lead_s,prep_peak_dispatch_lead,engine_peak_service_lead_s,engine_mean_service_lead_s,engine_peak_dispatch_lead,worst_best_tenant_slowdown_ratio,urgent_mean_e2e_s,background_mean_e2e_s,max_background_prep_wait_s,prep_utilization_percent,engine_utilization_percent,throughput_qps
fcfs,4,0,100.0,201.03894496778958,123.10098034672899,12.0,54.759652895707404,50.863730836209456,3.5,1.6820849805331166,176.11666324382531,87.15006824148684,142.5276876212447,85.1660680124316,43.00273067697494,0.21037371892981266
priority,4,0,100.0,181.252620350715,100.99353770243573,12.0,29.56462507462129,25.727591954168915,8.0,2.5210362320974173,37.184841807288954,115.46536374094123,179.95009245205438,85.9660453501063,37.939909243337446,0.21480052422826437
sjf,4,0,100.0,141.15774989008787,35.4085176976357,4.0,2.682460807962343,2.6209505306083885,1.75,1.2685422308726653,62.592222532623666,56.50352131174522,137.6486584727536,85.31352991103017,26.89148724490545,0.21313607946808172
tenant_fair,4,0,100.0,64.15907375246752,24.872593109240636,6.5,53.487644404987805,27.122535246547944,5.5,1.154921468607256,176.0014047530155,92.6364015954144,170.4682589720178,90.65394839023635,45.92513499847512,0.2256223666006491
tenant_priority,4,0,100.0,51.751947340904735,19.496892685553654,5.25,55.831793761550216,29.248580228349745,4.25,1.1923259241528443,44.7218816555566,113.01758191707228,160.5881188804924,85.2527894688345,45.76938763520929,0.22952369461934413
fair_slowdown,4,0,100.0,72.73086329307989,12.363662131524382,2.5,7.969945669785375,4.288332237707721,2.25,1.1514221571847378,63.426974653040816,55.296635235141565,138.78848520625615,86.31372546784009,27.747032940879922,0.21582887452838645
